Normalized Coil Height [-],Air Velocity [m/s],CFM,angle,height
0.9500000000000001,0,654,13.6,0.63
0.9550000000000001,0,654,13.6,0.63
0.96,0,654,13.6,0.63
0.965,0,654,13.6,0.63
0.97,0,654,13.6,0.63
0.975,0,654,13.6,0.63
0.98,0,654,13.6,0.63
0.985,0,654,13.6,0.63
0.99,0,654,13.6,0.63
0.995,0,654,13.6,0.63
