Normalized Coil Height [-],Air Velocity [m/s],CFM,angle,height
7.495012749763711e-05,-0.0048432863005,550,23.4,0.53
0.0002649665458328995,-0.017772932345,550,23.4,0.53
0.00045718148864615866,-0.027730665,550,23.4,0.53
0.0007176892920750579,-0.03779930119,550,23.4,0.53
0.0010498367001411844,-0.04714243945,550,23.4,0.53
0.0014999941953587868,-0.0549836857,550,23.4,0.53
0.002073944914871335,-0.06061989832,550,23.4,0.53
0.0028518171467762517,-0.063560883235,550,23.4,0.53
0.003843604020135762,-0.06496227923,550,23.4,0.53
0.005419517388968692,-0.06737528177999999,550,23.4,0.53
0.00896089336730841,-0.06840128083,550,23.4,0.53
0.01433742956317142,-0.076783125745,550,23.4,0.53
0.019713966628876808,-0.08513451007,550,23.4,0.53
0.025090501953010578,-0.09539171831500001,550,23.4,0.53
0.032259217180838635,-0.1057233176,550,23.4,0.53
0.03763575160871399,-0.1105494802,550,23.4,0.53
0.04301228956501721,-0.1229649309,550,23.4,0.53
0.04838882401176117,-0.1169628481,550,23.4,0.53
0.05376536195863009,-0.1285683185,550,23.4,0.53
0.05914189639593975,-0.114187558,550,23.4,0.53
0.0645184308426837,-0.09615961423,550,23.4,0.53
0.06989496527055905,-0.07813798718,550,23.4,0.53
0.07527150674585585,-0.026961290315,550,23.4,0.53
0.0806480411831655,0.006637862581,550,23.4,0.53
0.08602457562047515,0.083696899085,550,23.4,0.53
0.09140111005778481,0.1834319686,550,23.4,0.53
0.09677764801408804,0.2736963467,550,23.4,0.53
0.10215418597039126,0.4060075852,550,23.4,0.53
0.10753072040770092,0.5449897687,550,23.4,0.53
0.11469943299392522,0.7756843581999999,550,23.4,0.53
0.12007597445978771,0.9481090709,550,23.4,0.53
0.1254525053781038,1.084574283,550,23.4,0.53
0.1308290363152885,1.198193991,550,23.4,0.53
0.1362055742621574,1.2436558345000002,550,23.4,0.53
0.14158211220902633,1.258569098,550,23.4,0.53
0.14695865017476387,1.245136196,550,23.4,0.53
0.15233518812163277,1.221147326,550,23.4,0.53
0.15771171903994888,1.181817928,550,23.4,0.53
0.16308826403423923,1.143434858,550,23.4,0.53
0.16846479495255534,1.0988140995000002,550,23.4,0.53
0.1738413258708714,1.059561375,550,23.4,0.53
0.17921786383660893,1.022503703,550,23.4,0.53
0.18638658344195178,0.97401772195,550,23.4,0.53
0.19176311432253068,0.9409161139,550,23.4,0.53
0.19713965232600536,0.91148221645,550,23.4,0.53
0.2025161903294801,0.8896740494,550,23.4,0.53
0.20789272125723046,0.8628626718,550,23.4,0.53
0.21326926614774355,0.8429173204,550,23.4,0.53
0.21864579707549392,0.8232969656,550,23.4,0.53
0.22402232800324431,0.8055446156,550,23.4,0.53
0.22939886591237604,0.790189479,550,23.4,0.53
0.23477540401019376,0.7776931605,550,23.4,0.53
0.24015194890070682,0.7648985311000001,550,23.4,0.53
0.24552847982845724,0.7558343856,550,23.4,0.53
0.2509050248133132,0.7439099702,550,23.4,0.53
0.256281541683958,0.7371396455,550,23.4,0.53
0.261658086668814,0.7283077229499999,550,23.4,0.53
0.2688268132838411,0.7180555786,550,23.4,0.53
0.2742033302488288,0.7111355355,550,23.4,0.53
0.2795798751393419,0.7051073607,550,23.4,0.53
0.28495642021854095,0.7001523778,550,23.4,0.53
0.29033295105194834,0.6946942782000001,550,23.4,0.53
0.29570948207404174,0.6909102039,550,23.4,0.53
0.3010860269645548,0.6858377207499999,550,23.4,0.53
0.3064625720437539,0.6828360417,550,23.4,0.53
0.31183908882005557,0.678726567,550,23.4,0.53
0.3172156338992546,0.674929603,550,23.4,0.53
0.322592164732662,0.6714085617500001,550,23.4,0.53
0.32796869556606945,0.6681528037,550,23.4,0.53
0.33334524064526844,0.66578924585,550,23.4,0.53
0.3387217855357815,0.6630715658,550,23.4,0.53
0.3440983025007692,0.6606423817,550,23.4,0.53
0.3512670291157963,0.6573931229000001,550,23.4,0.53
0.3566435741006524,0.6559580601,550,23.4,0.53
0.36202009097129706,0.65370977275,550,23.4,0.53
0.36739663595615313,0.6517387915,550,23.4,0.53
0.37277316688390355,0.64997486165,550,23.4,0.53
0.3781496978116539,0.6481604886,550,23.4,0.53
0.38352624279651,0.64689584225,550,23.4,0.53
0.38890278778136605,0.64541735,550,23.4,0.53
0.3942793046520107,0.64407236785,550,23.4,0.53
0.3996558496368668,0.642599984,550,23.4,0.53
0.40503239462172286,0.6416695594499999,550,23.4,0.53
0.4104089114923676,0.6405873932,550,23.4,0.53
0.41578545647722365,0.6393542725,550,23.4,0.53
0.42295418309225075,0.6380253094999999,550,23.4,0.53
0.42833070005723844,0.6372473977,550,23.4,0.53
0.43370724494775154,0.63616227495,550,23.4,0.53
0.43908378983826457,0.6353611885,550,23.4,0.53
0.44446030680325227,0.63452664915,550,23.4,0.53
0.44983685169376536,0.6336350506,550,23.4,0.53
0.4552133967729644,0.6329216235999999,550,23.4,0.53
0.4605899135492661,0.6323706279,550,23.4,0.53
0.46596645862846514,0.6316336869,550,23.4,0.53
0.47134300351897823,0.6309647488,550,23.4,0.53
0.47671953454107163,0.63036642655,550,23.4,0.53
0.4820960372602676,0.6298095039,550,23.4,0.53
0.48747259639657237,0.6292836719,550,23.4,0.53
0.49284909911576846,0.628712659,550,23.4,0.53
0.4982256582520732,0.6283257611499999,550,23.4,0.53
0.5053943848671002,0.62767865235,550,23.4,0.53
0.5107708876806393,0.627361494,550,23.4,0.53
0.516147446722601,0.6269699708,550,23.4,0.53
0.5215240057645628,0.6265981925,550,23.4,0.53
0.5269005085781018,0.6261686169,550,23.4,0.53
0.5322770676200635,0.6258509085,550,23.4,0.53
0.5376535985478139,0.6255956344,550,23.4,0.53
0.5430301294755643,0.6252628688,550,23.4,0.53
0.5484066603089717,0.62507275815,550,23.4,0.53
0.553783191331065,0.624849867,550,23.4,0.53
0.5591597502786838,0.6245505941,550,23.4,0.53
0.5645362531865658,0.6243413229,550,23.4,0.53
0.5699128121341845,0.6241262313,550,23.4,0.53
0.5752893712704893,0.6239156698,550,23.4,0.53
0.5806658739896853,0.62376663245,550,23.4,0.53
0.5878346006990555,0.62351713145,550,23.4,0.53
0.5932111596466741,0.6232894924,550,23.4,0.53
