Normalized Coil Height [-],Air Velocity [m/s],CFM,angle,height
7.495012749763711e-05,-0.0103772225115,880,17.8,0.53
0.0002649665458328995,-0.037910826025,880,17.8,0.53
0.00045718148864615866,-0.05939809929,880,17.8,0.53
0.0007176892920750579,-0.079066964875,880,17.8,0.53
0.0010498367001411844,-0.09526662478,880,17.8,0.53
0.0014999941953587868,-0.1063817027,880,17.8,0.53
0.002073944914871335,-0.1131848925,880,17.8,0.53
0.0028518171467762517,-0.11671248540000001,880,17.8,0.53
0.003843604020135762,-0.1189157052,880,17.8,0.53
0.005419517388968692,-0.12126759755,880,17.8,0.53
0.00896089336730841,-0.1235413371,880,17.8,0.53
0.01433742956317142,-0.1295103743,880,17.8,0.53
0.019713966628876808,-0.1334078425,880,17.8,0.53
0.025090501953010578,-0.1383175064,880,17.8,0.53
0.032259217180838635,-0.14320089205,880,17.8,0.53
0.03763575160871399,-0.145760914,880,17.8,0.53
0.04301228956501721,-0.15064755235,880,17.8,0.53
0.04838882401176117,-0.1511615757,880,17.8,0.53
0.05376536195863009,-0.16087988120000002,880,17.8,0.53
0.05914189639593975,-0.1622811439,880,17.8,0.53
0.0645184308426837,-0.16843896325,880,17.8,0.53
0.06989496527055905,-0.1744629309,880,17.8,0.53
0.07527150674585585,-0.18242799495,880,17.8,0.53
0.0806480411831655,-0.1906201564,880,17.8,0.53
0.08602457562047515,-0.19287255565,880,17.8,0.53
0.09140111005778481,-0.1992616627,880,17.8,0.53
0.09677764801408804,-0.20343935815,880,17.8,0.53
0.10215418597039126,-0.2110684078,880,17.8,0.53
0.10753072040770092,-0.20883042245,880,17.8,0.53
0.11469943299392522,-0.20422612839999998,880,17.8,0.53
0.12007597445978771,-0.1984434158,880,17.8,0.53
0.1254525053781038,-0.18543864395,880,17.8,0.53
0.1308290363152885,-0.1499601428,880,17.8,0.53
0.1362055742621574,-0.11307259516000001,880,17.8,0.53
0.14158211220902633,-0.05677905423,880,17.8,0.53
0.14695865017476387,0.0264766821365,880,17.8,0.53
0.15233518812163277,0.1013085211,880,17.8,0.53
0.15771171903994888,0.24671335105,880,17.8,0.53
0.16308826403423923,0.3965989062,880,17.8,0.53
0.16846479495255534,0.5744916575000001,880,17.8,0.53
0.1738413258708714,0.7968481795,880,17.8,0.53
0.17921786383660893,1.0005063275,880,17.8,0.53
0.18638658344195178,1.3344980830000002,880,17.8,0.53
0.19176311432253068,1.574661958,880,17.8,0.53
0.19713965232600536,1.81371697,880,17.8,0.53
0.2025161903294801,1.965336475,880,17.8,0.53
0.20789272125723046,2.175486883,880,17.8,0.53
0.21326926614774355,2.33089869,880,17.8,0.53
0.21864579707549392,2.3761959245,880,17.8,0.53
0.22402232800324431,2.386910407,880,17.8,0.53
0.22939886591237604,2.343975926,880,17.8,0.53
0.23477540401019376,2.288352625,880,17.8,0.53
0.24015194890070682,2.1993559425,880,17.8,0.53
0.24552847982845724,2.137095699,880,17.8,0.53
0.2509050248133132,2.036246075,880,17.8,0.53
0.256281541683958,1.977819261,880,17.8,0.53
0.261658086668814,1.893282026,880,17.8,0.53
0.2688268132838411,1.7938279705,880,17.8,0.53
0.2742033302488288,1.729694921,880,17.8,0.53
0.2795798751393419,1.672628551,880,17.8,0.53
0.28495642021854095,1.623712096,880,17.8,0.53
0.29033295105194834,1.572234329,880,17.8,0.53
0.29570948207404174,1.537126715,880,17.8,0.53
0.3010860269645548,1.4920364385,880,17.8,0.53
0.3064625720437539,1.464264286,880,17.8,0.53
0.31183908882005557,1.4349067355,880,17.8,0.53
0.3172156338992546,1.406020463,880,17.8,0.53
0.322592164732662,1.3813961235,880,17.8,0.53
0.32796869556606945,1.357539837,880,17.8,0.53
0.33334524064526844,1.3412747505,880,17.8,0.53
0.3387217855357815,1.323142819,880,17.8,0.53
0.3440983025007692,1.3081889685,880,17.8,0.53
0.3512670291157963,1.2879767599999998,880,17.8,0.53
0.3566435741006524,1.278307716,880,17.8,0.53
0.36202009097129706,1.264512412,880,17.8,0.53
0.36739663595615313,1.252341709,880,17.8,0.53
0.37277316688390355,1.2411155035,880,17.8,0.53
0.3781496978116539,1.229622772,880,17.8,0.53
0.38352624279651,1.2215935065,880,17.8,0.53
0.38890278778136605,1.211342404,880,17.8,0.53
0.3942793046520107,1.204621248,880,17.8,0.53
0.3996558496368668,1.196393347,880,17.8,0.53
0.40503239462172286,1.1889781154999999,880,17.8,0.53
0.4104089114923676,1.18376626,880,17.8,0.53
0.41578545647722365,1.1770166034999998,880,17.8,0.53
0.42295418309225075,1.169099298,880,17.8,0.53
0.42833070005723844,1.164658243,880,17.8,0.53
0.43370724494775154,1.1584570935,880,17.8,0.53
0.43908378983826457,1.153875712,880,17.8,0.53
0.44446030680325227,1.14924142,880,17.8,0.53
0.44983685169376536,1.14468891,880,17.8,0.53
0.4552133967729644,1.140635396,880,17.8,0.53
0.4605899135492661,1.137540347,880,17.8,0.53
0.46596645862846514,1.133659325,880,17.8,0.53
0.47134300351897823,1.130044346,880,17.8,0.53
0.47671953454107163,1.1266073859999999,880,17.8,0.53
0.4820960372602676,1.123801212,880,17.8,0.53
0.48747259639657237,1.121055842,880,17.8,0.53
0.49284909911576846,1.118163515,880,17.8,0.53
0.4982256582520732,1.115992857,880,17.8,0.53
0.5053943848671002,1.1129162259999998,880,17.8,0.53
0.5107708876806393,1.111060113,880,17.8,0.53
0.516147446722601,1.109025996,880,17.8,0.53
0.5215240057645628,1.107184369,880,17.8,0.53
0.5269005085781018,1.105434073,880,17.8,0.53
0.5322770676200635,1.103519377,880,17.8,0.53
0.5376535985478139,1.1025455554999999,880,17.8,0.53
0.5430301294755643,1.101145465,880,17.8,0.53
0.5484066603089717,1.0997888850000002,880,17.8,0.53
0.553783191331065,1.09880619,880,17.8,0.53
0.5591597502786838,1.097282295,880,17.8,0.53
0.5645362531865658,1.096136147,880,17.8,0.53
0.5699128121341845,1.095326137,880,17.8,0.53
0.5752893712704893,1.094461514,880,17.8,0.53
0.5806658739896853,1.0936399749999999,880,17.8,0.53
0.5878346006990555,1.092452449,880,17.8,0.53
0.5932111596466741,1.091751628,880,17.8,0.53
0.5985876625545562,1.0910945435000001,880,17.8,0.53
0.603964221502175,1.090363757,880,17.8,0.53
0.6093407525242682,1.0900990075,880,17.8,0.53
0.6147172833576757,1.08930974,880,17.8,0.53
0.6200938143797691,1.089274943,880,17.8,0.53
0.6254703452131765,1.088900564,880,17.8,0.53
0.6308468762352699,1.0879997735,880,17.8,0.53
0.6362234070686772,1.087859206,880,17.8,0.53
0.6415999662049819,1.0876376385,880,17.8,0.53
0.646976468924178,1.087167925,880,17.8,0.53
0.6523530279661398,1.0861459035,880,17.8,0.53
0.6595217545811669,1.08624475,880,17.8,0.53
0.6648982574890488,1.086443909,880,17.8,0.53
0.6702748164366676,1.0861892595,880,17.8,0.53
0.6756513755729724,1.08563993,880,17.8,0.53
0.6810278782921684,1.0853890065,880,17.8,0.53
0.6864044374284731,1.084912589,880,17.8,0.53
0.6917809682618805,1.0855165979999999,880,17.8,0.53
0.6971574992839739,1.085157305,880,17.8,0.53
0.7025340301173812,1.0846755799999999,880,17.8,0.53
0.7079105611394747,1.084029725,880,17.8,0.53
0.7132871200870934,1.0842032315,880,17.8,0.53
0.7186636229949754,1.084137818,880,17.8,0.53
0.7240401819425941,1.083805217,880,17.8,0.53
0.7294167410788989,1.08313434,880,17.8,0.53
0.734793243798095,1.0828807395000002,880,17.8,0.53
0.741961970507465,1.0824448505,880,17.8,0.53
0.747338473226661,1.081930337,880,17.8,0.53
