Normalized Coil Height [-],Air Velocity [m/s],CFM,angle,height
7.495012749763711e-05,-0.00267215140565,470,23.4,0.53
0.0002649665458328995,-0.010242108467000001,470,23.4,0.53
0.00045718148864615866,-0.01657887325,470,23.4,0.53
0.0007176892920750579,-0.023190984025,470,23.4,0.53
0.0010498367001411844,-0.03010625775,470,23.4,0.53
0.0014999941953587868,-0.035872510945000005,470,23.4,0.53
0.002073944914871335,-0.04003453522,470,23.4,0.53
0.0028518171467762517,-0.042127249874999995,470,23.4,0.53
0.003843604020135762,-0.0429341378,470,23.4,0.53
0.005419517388968692,-0.04496920285,470,23.4,0.53
0.00896089336730841,-0.04524419946,470,23.4,0.53
0.01433742956317142,-0.052324023395,470,23.4,0.53
0.019713966628876808,-0.06013724207,470,23.4,0.53
0.025090501953010578,-0.06975160628,470,23.4,0.53
0.032259217180838635,-0.07854809874499999,470,23.4,0.53
0.03763575160871399,-0.08138056958,470,23.4,0.53
0.04301228956501721,-0.091679103495,470,23.4,0.53
0.04838882401176117,-0.08315272795,470,23.4,0.53
0.05376536195863009,-0.09074341159499999,470,23.4,0.53
0.05914189639593975,-0.07370274383,470,23.4,0.53
0.0645184308426837,-0.05102928072,470,23.4,0.53
0.06989496527055905,-0.0281894329,470,23.4,0.53
0.07527150674585585,0.024195089015,470,23.4,0.53
0.0806480411831655,0.06055177812,470,23.4,0.53
0.08602457562047515,0.1420460611,470,23.4,0.53
0.09140111005778481,0.2480292779,470,23.4,0.53
0.09677764801408804,0.3434698341,470,23.4,0.53
0.10215418597039126,0.4804149902,470,23.4,0.53
0.10753072040770092,0.60647709115,470,23.4,0.53
0.11469943299392522,0.79150286915,470,23.4,0.53
0.12007597445978771,0.9077860686,470,23.4,0.53
0.1254525053781038,0.9825834903,470,23.4,0.53
0.1308290363152885,1.028653857,470,23.4,0.53
0.1362055742621574,1.0403967445000002,470,23.4,0.53
0.14158211220902633,1.033585997,470,23.4,0.53
0.14695865017476387,1.0139593165,470,23.4,0.53
0.15233518812163277,0.9903990966,470,23.4,0.53
0.15771171903994888,0.9545734635,470,23.4,0.53
0.16308826403423923,0.9251737201,470,23.4,0.53
0.16846479495255534,0.8908635437,470,23.4,0.53
0.1738413258708714,0.8614208232,470,23.4,0.53
0.17921786383660893,0.8336977985,470,23.4,0.53
0.18638658344195178,0.7977056934,470,23.4,0.53
0.19176311432253068,0.7733020763,470,23.4,0.53
0.19713965232600536,0.75159435515,470,23.4,0.53
0.2025161903294801,0.7354090969,470,23.4,0.53
0.20789272125723046,0.7151146993999999,470,23.4,0.53
0.21326926614774355,0.7001375003,470,23.4,0.53
0.21864579707549392,0.6853167229,470,23.4,0.53
0.22402232800324431,0.6718383384,470,23.4,0.53
0.22939886591237604,0.6601210242,470,23.4,0.53
0.23477540401019376,0.6506025934,470,23.4,0.53
0.24015194890070682,0.6407536812,470,23.4,0.53
0.24552847982845724,0.6337606118,470,23.4,0.53
0.2509050248133132,0.62455119345,470,23.4,0.53
0.256281541683958,0.619386005,470,23.4,0.53
0.261658086668814,0.6124874821499999,470,23.4,0.53
0.2688268132838411,0.6044782378,470,23.4,0.53
0.2742033302488288,0.5990962544,470,23.4,0.53
0.2795798751393419,0.59440676155,470,23.4,0.53
0.28495642021854095,0.5905588274,470,23.4,0.53
0.29033295105194834,0.5863193178499999,470,23.4,0.53
0.29570948207404174,0.5833676643,470,23.4,0.53
0.3010860269645548,0.5793644134,470,23.4,0.53
0.3064625720437539,0.5770658113,470,23.4,0.53
0.31183908882005557,0.57383402605,470,23.4,0.53
0.3172156338992546,0.5708594016,470,23.4,0.53
0.322592164732662,0.56811857685,470,23.4,0.53
0.32796869556606945,0.5655151067,470,23.4,0.53
0.33334524064526844,0.5636965195,470,23.4,0.53
0.3387217855357815,0.5615297969,470,23.4,0.53
0.3440983025007692,0.55961144975,470,23.4,0.53
0.3512670291157963,0.5570440320000001,470,23.4,0.53
0.3566435741006524,0.5558910542,470,23.4,0.53
0.36202009097129706,0.5540980582,470,23.4,0.53
0.36739663595615313,0.5525056898,470,23.4,0.53
0.37277316688390355,0.5510855723,470,23.4,0.53
0.3781496978116539,0.5496208254,470,23.4,0.53
0.38352624279651,0.54862435025,470,23.4,0.53
0.38890278778136605,0.5474340286,470,23.4,0.53
0.3942793046520107,0.5463653859,470,23.4,0.53
0.3996558496368668,0.5451961341,470,23.4,0.53
0.40503239462172286,0.5444688434,470,23.4,0.53
0.4104089114923676,0.5435944767,470,23.4,0.53
0.41578545647722365,0.5426480592,470,23.4,0.53
0.42295418309225075,0.5415897331999999,470,23.4,0.53
0.42833070005723844,0.5409849555,470,23.4,0.53
0.43370724494775154,0.54011362975,470,23.4,0.53
0.43908378983826457,0.5394971518,470,23.4,0.53
0.44446030680325227,0.53884322535,470,23.4,0.53
0.44983685169376536,0.5381672019,470,23.4,0.53
0.4552133967729644,0.53760484135,470,23.4,0.53
0.4605899135492661,0.5371718602,470,23.4,0.53
0.46596645862846514,0.5365934077,470,23.4,0.53
0.47134300351897823,0.5360686048,470,23.4,0.53
0.47671953454107163,0.5355920661,470,23.4,0.53
0.4820960372602676,0.5351432044,470,23.4,0.53
0.48747259639657237,0.5347312074499999,470,23.4,0.53
0.49284909911576846,0.534273788,470,23.4,0.53
0.4982256582520732,0.5339692552,470,23.4,0.53
0.5053943848671002,0.5334434504000001,470,23.4,0.53
0.5107708876806393,0.5331938998,470,23.4,0.53
0.516147446722601,0.532873913,470,23.4,0.53
0.5215240057645628,0.5325703506,470,23.4,0.53
0.5269005085781018,0.5322251954999999,470,23.4,0.53
0.5322770676200635,0.5319629012,470,23.4,0.53
0.5376535985478139,0.53175204785,470,23.4,0.53
0.5430301294755643,0.5314864262,470,23.4,0.53
0.5484066603089717,0.53132551245,470,23.4,0.53
0.553783191331065,0.5311387011,470,23.4,0.53
0.5591597502786838,0.5308836021,470,23.4,0.53
0.5645362531865658,0.5307133356,470,23.4,0.53
0.5699128121341845,0.5305309352500001,470,23.4,0.53
0.5752893712704893,0.5303557019,470,23.4,0.53
