Normalized Coil Height [-],Air Velocity [m/s]
0.0,1e-05
0.002512562814070352,1e-05
0.005025125628140704,1e-05
0.007537688442211055,1e-05
0.010050251256281407,1e-05
0.01256281407035176,1e-05
0.01507537688442211,1e-05
0.017587939698492466,1e-05
0.020100502512562814,1e-05
0.022613065326633167,1e-05
0.02512562814070352,1e-05
0.02763819095477387,1e-05
0.03015075376884422,1e-05
0.032663316582914576,1e-05
0.03517587939698493,1e-05
0.03768844221105527,1e-05
0.04020100502512563,1e-05
0.042713567839195984,1e-05
0.04522613065326633,1e-05
0.04773869346733668,1e-05
0.05025125628140704,1e-05
0.052763819095477386,1e-05
0.05527638190954774,1e-05
0.05778894472361809,1e-05
0.06030150753768844,1e-05
0.06281407035175879,1e-05
0.06532663316582915,1e-05
0.0678391959798995,1e-05
0.07035175879396986,1e-05
0.0728643216080402,1e-05
0.07537688442211055,1e-05
0.07788944723618091,1e-05
0.08040201005025126,1e-05
0.0829145728643216,1e-05
0.08542713567839197,1e-05
0.0879396984924623,1e-05
0.09045226130653267,1e-05
0.09296482412060302,1e-05
0.09547738693467336,1e-05
0.09798994974874373,1e-05
0.10050251256281408,0.013604879
0.10301507537688441,0.049840987
0.10552763819095477,0.11228816
0.10804020100502512,0.17473537
0.11055276381909548,0.24029112
0.11306532663316583,0.3336658
0.11557788944723618,0.42704034
0.11809045226130653,0.5334865
0.12060301507537688,0.65374935
0.12311557788944723,0.77294874
0.12562814070351758,0.8953961
0.12814070351758794,1.0228927
0.1306532663316583,1.178081
0.13316582914572864,1.328171
0.135678391959799,1.4717821
0.13819095477386936,1.5938294
0.14070351758793972,1.7052089
0.14321608040201003,1.805686
0.1457286432160804,1.8862832
0.14824120603015076,1.9680076
0.1507537688442211,2.045223
0.15326633165829145,2.0419135
0.15577889447236182,2.0433204
0.15829145728643215,2.0566466
0.16080402010050251,2.0378737
0.16331658291457288,2.0028205
0.1658291457286432,1.9507185
0.16834170854271358,1.8933716
0.17085427135678394,1.8353449
0.17336683417085427,1.777318
0.1758793969849246,1.7192913
0.17839195979899497,1.6612647
0.18090452261306533,1.6097265
0.18341708542713567,1.5657438
0.18592964824120603,1.5293853
0.1884422110552764,1.4955664
0.19095477386934673,1.4617475
0.1934673366834171,1.4279287
0.19597989949748745,1.3941095
0.1984924623115578,1.3618113
0.20100502512562815,1.3319438
0.2035175879396985,1.3020762
0.20603015075376882,1.2722085
0.20854271356783918,1.2529565
0.21105527638190955,1.2348294
0.2135678391959799,1.2167021
0.21608040201005024,1.1985749
0.2185929648241206,1.1804478
0.22110552763819097,1.1623207
0.2236180904522613,1.1441934
0.22613065326633167,1.1261883
0.22864321608040203,1.1162575
0.23115577889447236,1.1075833
0.23366834170854273,1.0989093
0.23618090452261306,1.0910167
0.2386934673366834,1.0832541
0.24120603015075376,1.0754913
0.24371859296482412,1.0677289
0.24623115577889446,1.0599661
0.24874371859296482,1.0522
0.25125628140703515,1.0444332
0.2537688442211055,1.0366666
0.2562814070351759,1.0288997
0.25879396984924624,1.021133
0.2613065326633166,1.010969
0.26381909547738697,1.0003635
0.2663316582914573,0.9897578
0.26884422110552764,0.9791521
0.271356783919598,0.9746697
0.27386934673366836,0.972239
0.2763819095477387,0.96980846
0.2788944723618091,0.9673778
0.28140703517587945,0.9649471
0.28391959798994976,0.96251667
0.2864321608040201,0.960086
0.2889447236180905,0.95765543
0.2914572864321608,0.95522475
0.29396984924623115,0.9527942
0.2964824120603015,0.9503635
0.2989949748743718,0.94793296
0.3015075376884422,0.9455024
0.30402010050251255,0.9430716
0.3065326633165829,0.94064116
0.30904522613065327,0.9382106
0.31155778894472363,0.9357798
0.314070351758794,0.9333494
0.3165829145728643,0.9309217
0.31909547738693467,0.9285079
0.32160804020100503,0.92609394
0.3241206030150754,0.92368007
0.32663316582914576,0.92126596
0.3291457286432161,0.918852
0.3316582914572864,0.916438
0.3341708542713568,0.91402423
0.33668341708542715,0.91161025
0.3391959798994975,0.90919626
0.3417085427135679,0.90678227
0.34422110552763824,0.9043683
0.3467336683417086,0.9019544
0.3492462311557789,0.8995403
0.35175879396984927,0.89712644
0.3542713567839196,0.89471257
0.35678391959798994,0.89229846
0.3592964824120603,0.8898845
0.36180904522613067,0.8874706
0.364321608040201,0.8850566
0.36683417085427134,0.8826426
0.3693467336683417,0.88022876
0.37185929648241206,0.87781477
0.3743718592964824,0.8754008
0.3768844221105528,0.8729869
0.3793969849246231,0.8705729
0.38190954773869346,0.86815894
0.3844221105527638,0.86574495
0.3869346733668342,0.86333096
0.38944723618090454,0.8609171
0.3919597989949749,0.8585031
0.39447236180904527,0.85608923
0.3969849246231156,0.85367525
0.39949748743718594,0.85126126
0.4020100502512563,0.8488474
0.40452261306532666,0.8464334
0.407035175879397,0.8440194
0.4095477386934674,0.84160554
0.4120603015075377,0.83929026
0.41457286432160806,0.82681096
0.4170854271356784,0.8092853
